Name,Tags,Sector,Position,Company name,Conference Goals,Themes of Interest,Bio,Email,LinkedIn,Twitter,Avatar,First name,Last name,tagList,id,Cluster,Degree,InterclusterFraction,ClusterDiversity,ClusterBridging,ClusterArchetype,cluster_name,x,y
Theodora Huels,Alternative Health|Sports Tech|Health Tech|Artificial Intelligence|Security|Community Engagement|Mobility / Transport|Policy|Company Structure|Trade|IPO / ICO|Impact Investing|Uncertainty / Accelerating Change|Skills and Capability Development|Remote Work|Business Models|Ethics|Policy|Identity|Art|Gamification|Exploration|Engagement / Participation|Personal Development|Functional Food|AgTech|Lab Grown Food|Vegetarian / Vegan,Startup,Tire Builder,Stracke-Hirthe,Meet Investors|Meet Startups|Tell My Story|Other,Cities|Play,,marietta63@example.net,,,https://lorempixel.com/600/600/cats/?10865,Theodora,Huels,"['Alternative Health', 'Sports Tech', 'Health Tech', 'Artificial Intelligence', 'Security', 'Community Engagement', 'Mobility / Transport', 'Policy', 'Company Structure', 'Trade', 'IPO / ICO', 'Impact Investing', 'Uncertainty / Accelerating Change', 'Skills and Capability Development', 'Remote Work', 'Business Models', 'Ethics', 'Policy', 'Identity', 'Art', 'Gamification', 'Exploration', 'Engagement / Participation', 'Personal Development', 'Functional Food', 'AgTech', 'Lab Grown Food', 'Vegetarian / Vegan']",10,Cluster_4,4,0.5,-0.23877212604344883,0.43571494849456516,-1.1726644867754499,"IPO / ICO, Design, Gamification, Engagement / Participation, Smart Collaboration Technology",11.06502914428711,-17.530372619628906
Jessika Pacocha,Alternative Health|Cannabis|Diagnosis|Internet of Things|Security|Governance|Energy|Participation|Company Structure|Investment|Trade|Sharing Economy|Automation / Artificial Intelligence|Machine Learning|Gender / Diversity|Strategy / Leadership|Purpose|Education|Ethics|Identity|eSports / Sport|Gamification|Exploration|Interfaces / Platforms|Plant Based|Growth|AgTech|Farming,Startup,Forest and Conservation Worker,Hayes Inc,Meet Startups|Understand Government Policy|Explore new ways of working|Other,Culture|Work,,alphonso28@example.org,,,https://lorempixel.com/600/600/cats/?57298,Jessika,Pacocha,"['Alternative Health', 'Cannabis', 'Diagnosis', 'Internet of Things', 'Security', 'Governance', 'Energy', 'Participation', 'Company Structure', 'Investment', 'Trade', 'Sharing Economy', 'Automation / Artificial Intelligence', 'Machine Learning', 'Gender / Diversity', 'Strategy / Leadership', 'Purpose', 'Education', 'Ethics', 'Identity', 'eSports / Sport', 'Gamification', 'Exploration', 'Interfaces / Platforms', 'Plant Based', 'Growth', 'AgTech', 'Farming']",11,Cluster_3,4,0.25,-0.8076747506417999,-0.9273007204325395,0.35120200538178725,"eSports / Sport, Farming, Automation / Artificial Intelligence, Virtual Reality, Equity",2.2416234016418457,13.635993957519531
Kali Hayes,Alternative Health|Peak Performance|Exercise |Personal Data / Electronic Medical Record|Security|Community Engagement|City Information Managment|Policy|Trade|Sharing Economy|Cryptocurrency|Impact Investing|Uncertainty / Accelerating Change|Gender / Diversity|Remote Work|Culture / PeopleGeeks|Values-Based Leadership|Consumer Behaviour|Ethics|Policy|Exploration|Engagement / Participation|Personal Development|Interfaces / Platforms|Growth|Lab Grown Food|Optimal Nutrition|Alcohol and other drugs,Government,Paving Equipment Operator,"O'Keefe, Heathcote and Runte",Meet Investors|Understand Government Policy|Improve my business|Other,Play|Work,,shanelle10@example.com,,,https://lorempixel.com/600/600/cats/?25981,Kali,Hayes,"['Alternative Health', 'Peak Performance', 'Exercise ', 'Personal Data / Electronic Medical Record', 'Security', 'Community Engagement', 'City Information Managment', 'Policy', 'Trade', 'Sharing Economy', 'Cryptocurrency', 'Impact Investing', 'Uncertainty / Accelerating Change', 'Gender / Diversity', 'Remote Work', 'Culture / PeopleGeeks', 'Values-Based Leadership', 'Consumer Behaviour', 'Ethics', 'Policy', 'Exploration', 'Engagement / Participation', 'Personal Development', 'Interfaces / Platforms', 'Growth', 'Lab Grown Food', 'Optimal Nutrition', 'Alcohol and other drugs']",12,Cluster_2,4,0.0,-2.885413367021021,-2.471108061378189,3.20814965343202,"Alternative Health, Policy, Optimal Nutrition, Exploration, City Information Managment",10.997363090515137,-8.513776779174805
Arlie Mayert,Alternative Health|Exercise |Diagnosis|New Hospitals|Sustainability|Security|Infrastructure|Mobility / Transport|Equity|Crowdfunding|Trade|IPO / ICO|Machine Learning|Uncertainty / Accelerating Change|Culture / PeopleGeeks|Strategy / Leadership|Creative Industries|Ethics|Policy|Art|eSports / Sport|Gamification|Exploration|Engagement / Participation|Vitamins|Growth|Farming|Optimal Nutrition,Established Business,Natural Sciences Manager,"Ziemann, Prohaska and Feest",Meet Startups|Understand Government Policy|Tell My Story|Explore new ways of working,Food|Money,,rusty.pfannerstill@example.com,,,https://lorempixel.com/600/600/cats/?18526,Arlie,Mayert,"['Alternative Health', 'Exercise ', 'Diagnosis', 'New Hospitals', 'Sustainability', 'Security', 'Infrastructure', 'Mobility / Transport', 'Equity', 'Crowdfunding', 'Trade', 'IPO / ICO', 'Machine Learning', 'Uncertainty / Accelerating Change', 'Culture / PeopleGeeks', 'Strategy / Leadership', 'Creative Industries', 'Ethics', 'Policy', 'Art', 'eSports / Sport', 'Gamification', 'Exploration', 'Engagement / Participation', 'Vitamins', 'Growth', 'Farming', 'Optimal Nutrition']",13,Cluster_2,8,0.625,1.609861476850072,1.8912065998085539,-0.7027342033290368,"Alternative Health, Policy, Optimal Nutrition, Exploration, City Information Managment",-1.5010627508163452,-9.25718879699707
Elnora Kunde,Alternative Health|Exercise |Personal Data / Electronic Medical Record|New Hospitals|Sustainability|Community Engagement|Smart Cities|Infrastructure|Venture Capital|Trade|IPO / ICO|Impact Investing|Machine Learning|Entrepreneurship|Strategy / Leadership|Augmented Decision Making|Education|Consumer Behaviour|Ethics|Art|eSports / Sport|Gamification|Exploration|Personal Development|Functional Food|Vitamins|Supply Chain|Vegetarian / Vegan,Not for Profit,Plant and System Operator,Stamm-Stark,Meet Investors|Understand Government Policy|Improve my business|Explore new ways of working,Cities|Play,,htillman@example.com,,,https://lorempixel.com/600/600/cats/?26355,Elnora,Kunde,"['Alternative Health', 'Exercise ', 'Personal Data / Electronic Medical Record', 'New Hospitals', 'Sustainability', 'Community Engagement', 'Smart Cities', 'Infrastructure', 'Venture Capital', 'Trade', 'IPO / ICO', 'Impact Investing', 'Machine Learning', 'Entrepreneurship', 'Strategy / Leadership', 'Augmented Decision Making', 'Education', 'Consumer Behaviour', 'Ethics', 'Art', 'eSports / Sport', 'Gamification', 'Exploration', 'Personal Development', 'Functional Food', 'Vitamins', 'Supply Chain', 'Vegetarian / Vegan']",14,Cluster_2,5,0.4,-0.026493324503308765,-0.251620399369814,-0.2337329955706627,"Alternative Health, Policy, Optimal Nutrition, Exploration, City Information Managment",16.679784774780273,10.360664367675781
Irma Mertz,Exercise |Prevention|Artificial Intelligence|Virtual Reality|Security|Community Engagement|Energy|Participation|Company Structure|Venture Capital|Trade|Cryptocurrency|Entrepreneurship|Culture / PeopleGeeks|Business Models|Enterprise Technology|Values-Based Leadership|Consumer Behaviour|Policy|Art|eSports / Sport|Gamification|Engagement / Participation|Video Games|Functional Food|Vitamins|Plant Based|Vegetarian / Vegan,Government,Career Counselor,Kris Inc,Meet Investors|Understand Government Policy|Tell My Story|Other,Cities|Food,,dandre.kulas@example.com,,,https://lorempixel.com/600/600/cats/?94213,Irma,Mertz,"['Exercise ', 'Prevention', 'Artificial Intelligence', 'Virtual Reality', 'Security', 'Community Engagement', 'Energy', 'Participation', 'Company Structure', 'Venture Capital', 'Trade', 'Cryptocurrency', 'Entrepreneurship', 'Culture / PeopleGeeks', 'Business Models', 'Enterprise Technology', 'Values-Based Leadership', 'Consumer Behaviour', 'Policy', 'Art', 'eSports / Sport', 'Gamification', 'Engagement / Participation', 'Video Games', 'Functional Food', 'Vitamins', 'Plant Based', 'Vegetarian / Vegan']",15,Cluster_1,6,0.3333333333333333,0.40302472913703435,-0.08847380117194424,0.13148031177764505,"Policy, Cryptocurrency, Engagement / Participation, Business Models, Energy",14.070707321166992,5.892917156219482
Jesse Thompson,Exercise |Sports Tech|Diagnosis|Artificial Intelligence|Sustainability|Community Engagement|Energy|Policy|Equity|Company Structure|Cryptocurrency|Impact Investing|Machine Learning|Remote Work|Business Models|Enterprise Technology|Purpose|Values-Based Leadership|Social Networks / Influencers|Consumer Behaviour|Exploration|Engagement / Participation|Personal Development|Video Games|Plant Based|Growth|Distribution|Lab Grown Food,Startup,Door To Door Sales,Ratke-D'Amore,Meet Startups|Tell My Story|Improve my business|Explore new ways of working,Cities|Work,,roberts.maribel@example.net,,,https://lorempixel.com/600/600/cats/?58870,Jesse,Thompson,"['Exercise ', 'Sports Tech', 'Diagnosis', 'Artificial Intelligence', 'Sustainability', 'Community Engagement', 'Energy', 'Policy', 'Equity', 'Company Structure', 'Cryptocurrency', 'Impact Investing', 'Machine Learning', 'Remote Work', 'Business Models', 'Enterprise Technology', 'Purpose', 'Values-Based Leadership', 'Social Networks / Influencers', 'Consumer Behaviour', 'Exploration', 'Engagement / Participation', 'Personal Development', 'Video Games', 'Plant Based', 'Growth', 'Distribution', 'Lab Grown Food']",16,Cluster_1,4,0.0,-1.5359725059835523,-1.2857807142378666,2.4114161144337367,"Policy, Cryptocurrency, Engagement / Participation, Business Models, Energy",16.011096954345703,4.22416877746582
Brock Welch,Sports Tech|Health Tech|Functional Medicine|Internet of Things|Sustainability|Governance|Energy|Mobility / Transport|Blockchain|Venture Capital|Sharing Economy|IPO / ICO|Automation / Artificial Intelligence|Machine Learning|Entrepreneurship|Gender / Diversity|Creative Industries|Identity|Art|Design|eSports / Sport|Exploration|Personal Development|Video Games|Functional Food|Vitamins|Farming|Vegetarian / Vegan,Startup,Organizational Development Manager,"Padberg, Halvorson and Spencer",Meet Investors|Tell My Story|Improve my business|Other,Food|Money,,yschneider@example.net,,,https://lorempixel.com/600/600/cats/?98194,Brock,Welch,"['Sports Tech', 'Health Tech', 'Functional Medicine', 'Internet of Things', 'Sustainability', 'Governance', 'Energy', 'Mobility / Transport', 'Blockchain', 'Venture Capital', 'Sharing Economy', 'IPO / ICO', 'Automation / Artificial Intelligence', 'Machine Learning', 'Entrepreneurship', 'Gender / Diversity', 'Creative Industries', 'Identity', 'Art', 'Design', 'eSports / Sport', 'Exploration', 'Personal Development', 'Video Games', 'Functional Food', 'Vitamins', 'Farming', 'Vegetarian / Vegan']",17,Cluster_6,4,0.75,1.552250048030798,0.7185892836243226,-1.6676730636458075,"Plant Based, Entrepreneurship, Strategy / Leadership, Smart Cities, Vegetarian / Vegan",-1.0773330926895142,4.412454128265381
Cristian Harber,Peak Performance|Sports Tech|Diagnosis|Prevention|Community Engagement|Energy|Participation|City Information Managment|Company Structure|Sharing Economy|Cryptocurrency|Impact Investing|Uncertainty / Accelerating Change|Smart Collaboration Technology|Enterprise Technology|Augmented Decision Making|Values-Based Leadership|Social Networks / Influencers|Creative Industries|Identity|eSports / Sport|Engagement / Participation|Personal Development|Video Games|Functional Food|Supply Chain|Optimal Nutrition|Vegetarian / Vegan,Other,Obstetrician,"Ankunding, Wisozk and Wilderman",Meet Startups|Understand Government Policy|Improve my business|Explore new ways of working,Health|Work,,shyann.monahan@example.com,,,https://lorempixel.com/600/600/cats/?70021,Cristian,Harber,"['Peak Performance', 'Sports Tech', 'Diagnosis', 'Prevention', 'Community Engagement', 'Energy', 'Participation', 'City Information Managment', 'Company Structure', 'Sharing Economy', 'Cryptocurrency', 'Impact Investing', 'Uncertainty / Accelerating Change', 'Smart Collaboration Technology', 'Enterprise Technology', 'Augmented Decision Making', 'Values-Based Leadership', 'Social Networks / Influencers', 'Creative Industries', 'Identity', 'eSports / Sport', 'Engagement / Participation', 'Personal Development', 'Video Games', 'Functional Food', 'Supply Chain', 'Optimal Nutrition', 'Vegetarian / Vegan']",18,Cluster_4,5,0.6,0.572690792123528,0.7060673617126967,-1.399704011199916,"IPO / ICO, Design, Gamification, Engagement / Participation, Smart Collaboration Technology",6.505449295043945,4.292076110839844
Ali Dach,Alternative Health|Exercise |Prevention|Internet of Things|Community Engagement|Smart Cities|Mobility / Transport|Policy|Crowdfunding|Venture Capital|Cryptocurrency|Impact Investing|Human Resources / Universal Employees|Remote Work|Culture / PeopleGeeks|Augmented Decision Making|Education|Consumer Behaviour|Ethics|Design|Exploration|Personal Development|Interfaces / Platforms|Video Games|Vitamins|Plant Based|AgTech|Optimal Nutrition,Established Business,Emergency Medical Technician and Paramedic,"Kulas, Lubowitz and Towne",Meet Startups|Understand Government Policy|Explore new ways of working|Other,Food|Health,,jpowlowski@example.net,,,https://lorempixel.com/600/600/cats/?29804,Ali,Dach,"['Alternative Health', 'Exercise ', 'Prevention', 'Internet of Things', 'Community Engagement', 'Smart Cities', 'Mobility / Transport', 'Policy', 'Crowdfunding', 'Venture Capital', 'Cryptocurrency', 'Impact Investing', 'Human Resources / Universal Employees', 'Remote Work', 'Culture / PeopleGeeks', 'Augmented Decision Making', 'Education', 'Consumer Behaviour', 'Ethics', 'Design', 'Exploration', 'Personal Development', 'Interfaces / Platforms', 'Video Games', 'Vitamins', 'Plant Based', 'AgTech', 'Optimal Nutrition']",19,Cluster_2,7,0.42857142857142855,0.5856570573477746,0.223615074027927,0.21225327301046318,"Alternative Health, Policy, Optimal Nutrition, Exploration, City Information Managment",7.119923114776611,-16.289409637451172
